Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
Navya,29.0,1403556.0,0.0,Pune,IT,2
Faiyaz,28.0,2019668.0,1.0,Delhi,HR,1
Anay,35.0,2369613.0,3.0,Noida,HR,5
Seher,34.0,2009593.0,11.0,Pune,Strategy,5
Raghav,39.0,919659.0,0.0,,Logistics,3
Nirvaan,31.0,1661779.0,3.0,Hyderabad,Engineering,4
Mamooty,28.0,1692654.0,5.0,Noida,,1
Hiran,51.0,773558.0,17.0,Indore,Engineering,5
Sara,40.0,1766807.0,19.0,Amritsar,R&D,1
Ehsaan,24.0,1463781.0,1.0,Bangalore,IT,1
Parinaaz,46.0,2151740.0,8.0,Nagpur,Support,3
Inaaya ,44.0,1369786.0,6.0,Bangalore,Support,5
Dhruv,37.0,2188859.0,5.0,Indore,Admin,5
Kiara,36.0,484620.0,10.0,Pune,Finance,3
Aarna,47.0,527615.0,,Kolkata,Logistics,2
Arhaan,53.0,,25.0,Ahmedabad,Admin,2
Aniruddh,37.0,2046981.0,8.0,Amritsar,Procurement,3
Divij,36.0,2387108.0,4.0,Ranchi,Engineering,1
Madhav,29.0,921013.0,2.0,Bhopal,Engineering,4
Mehul,46.0,inf,-inf,Guwahati,Admin,5
Dishani,22.0,1369145.0,0.0,Surat,Marketing,3
Lavanya,49.0,inf,-inf,Mumbai,Admin,5
Jhanvi,33.0,696319.0,8.0,Lucknow,R&D,2
Kiaan,45.0,927585.0,24.0,Chandigarh,HR,5
Saanvi,42.0,331691.0,15.0,Hyderabad,Design,3
Nehmat,37.0,1260288.0,1.0,Amritsar,Engineering,1
Rati,53.0,2484331.0,4.0,Ahmedabad,,4
Aaina,57.0,1361728.0,10.0,Guwahati,Legal,2
Madhup,56.0,1557432.0,,Indore,Design,4
Alia,55.0,757528.0,28.0,Pune,IT,1
Khushi,43.0,1215171.0,0.0,Amritsar,IT,1
Ranbir,26.0,496934.0,5.0,Pune,Engineering,1
Zoya,43.0,2406527.0,2.0,Pune,Admin,4
Aarush,35.0,804956.0,8.0,,Consulting,2
Tara,52.0,1048637.0,26.0,Hyderabad,Marketing,4
Zara,44.0,1974287.0,13.0,Patna,Finance,1
Indranil,25.0,1673138.0,3.0,Hyderabad,IT,2
Rasha,34.0,,8.0,Ahmedabad,Legal,2
Shlok,39.0,1297764.0,14.0,Bangalore,Strategy,5
Indrans,28.0,311898.0,0.0,Bangalore,IT,2
Tarini,999.0,999999999.0,15.0,Kolkata,,1
Shayak,32.0,259040.0,6.0,Indore,Admin,4
Vaibhav,40.0,2291247.0,13.0,Ahmedabad,R&D,3
Divit,35.0,505674.0,0.0,Surat,Finance,1
Taimur,,2359107.0,30.0,Guwahati,Support,1
Shray,,1029406.0,5.0,Bangalore,Engineering,2
Prerak,47.0,1282702.0,3.0,Amritsar,Finance,5
Azad,27.0,2442709.0,3.0,Surat,Admin,2
Samiha,42.0,1364068.0,,Indore,Sales,3
Amira,51.0,554267.0,10.0,Mumbai,Strategy,5
Heer,58.0,557277.0,6.0,Chandigarh,R&D,5
Gatik,-25.0,-50000.0,4.0,Bangalore,IT,3
Uthkarsh,40.0,2087879.0,5.0,Chandigarh,Operations,5
Dhanush,,1505685.0,0.0,Hyderabad,Sales,3
Ishita,29.0,,1.0,Jaipur,Operations,5
Ritvik,35.0,1688144.0,11.0,Kolkata,Admin,5
Mishti,53.0,463066.0,16.0,Bangalore,Legal,3
Miraya,24.0,1649037.0,0.0,Ahmedabad,Admin,2
Taran,50.0,2043848.0,17.0,Chandigarh,HR,1
Kashvi,26.0,875178.0,5.0,Chandigarh,Finance,3
Kartik,59.0,871150.0,35.0,Bhopal,Sales,1
Renee,41.0,417331.0,11.0,,R&D,2
Darshit,28.0,1954470.0,5.0,Noida,Sales,2
Nitara,32.0,1979288.0,2.0,Mumbai,Support,3
Manikya,48.0,1290888.0,25.0,Jaipur,Support,1
Trisha,46.0,,1.0,Pune,R&D,4
Riaan,44.0,1204604.0,9.0,Pune,HR,2
Divyansh,47.0,1418545.0,10.0,Bangalore,Admin,3
Amani,54.0,2499051.0,25.0,Surat,HR,1
Myra,38.0,1363446.0,5.0,Delhi,Marketing,5
Tejas,,1565658.0,11.0,Bhopal,Marketing,4
Ishaan,58.0,1318383.0,12.0,Delhi,Legal,1
Tushar,55.0,1076425.0,34.0,Nagpur,Legal,1
Sumer,43.0,1566657.0,19.0,Hyderabad,Operations,5
Lakshay,41.0,1618110.0,13.0,Indore,Operations,5
Oorja,30.0,2013479.0,3.0,Indore,Support,5
Priyansh,58.0,1953202.0,19.0,Chandigarh,HR,3
Pihu,40.0,2053081.0,6.0,Amritsar,,4
Neelofar,50.0,1146328.0,14.0,Guwahati,Consulting,2
Devansh,27.0,,2.0,Noida,Logistics,1
Mahika,37.0,1192211.0,9.0,Kolkata,Sales,1
Jayan,24.0,2242866.0,1.0,Noida,Engineering,4
Hazel,48.0,1065520.0,20.0,Indore,Consulting,4
Anahi,,273256.0,,Hyderabad,Legal,2
Purab,-25.0,-50000.0,12.0,Patna,Finance,5
Prisha,37.0,2164539.0,,Ahmedabad,Strategy,5
Ivana,57.0,2106287.0,20.0,Noida,Legal,5
Piya,50.0,917556.0,28.0,Ranchi,Strategy,3
Shaan,37.0,2436489.0,8.0,Ranchi,IT,3
Tiya,50.0,1448430.0,2.0,Pune,Admin,3
Urvi,42.0,587967.0,17.0,Ahmedabad,Sales,2
Bhavin,46.0,890911.0,22.0,Kolkata,Engineering,4
Saksham,48.0,2204228.0,10.0,Bhopal,Finance,2
Yakshit,999.0,999999999.0,12.0,,Procurement,4
Chirag,22.0,1502472.0,1.0,Indore,,5
Lakshit,56.0,2297782.0,14.0,Pune,Admin,4
Jiya,53.0,1880985.0,1.0,Surat,Procurement,2
Neysa,51.0,785309.0,29.0,Noida,HR,4
Charvi,59.0,363674.0,36.0,,Legal,2
Vivaan,51.0,460909.0,5.0,Jaipur,Procurement,3
Anahi,,273256.0,,Hyderabad,Legal,2
Dhanush,,1505685.0,0.0,Hyderabad,Sales,3
Tejas,,1565658.0,11.0,Bhopal,Marketing,4
Shray,,1029406.0,5.0,Bangalore,Engineering,2
Taimur,,2359107.0,30.0,Guwahati,Support,1
Employee_105,,-12063.0,13.0,Bangalore,IT,4
Employee_106,,503585.0,,Lucknow,Admin,2
Employee_107,,-69463.0,,Pune,HR,5
Employee_108,999.0,999999999.0,7.0,Lucknow,Logistics,4
Employee_109,-27.0,1945476.0,16.0,Ahmedabad,,2
Employee_110,22.0,inf,19.0,Bangalore,Finance,4
Employee_111,-24.0,inf,-inf,Lucknow,Logistics,2
Employee_112,-41.0,999999999.0,2.0,Ahmedabad,Legal,1
Employee_113,-1.0,999999999.0,-inf,,IT,1
Employee_114,999.0,1465514.0,6.0,Pune,Strategy,3
Employee_115,-4.0,,,Jaipur,Admin,2
Employee_116,,inf,,Hyderabad,Admin,1
Employee_117,-43.0,inf,-inf,Jaipur,IT,1
Employee_118,,1339460.0,7.0,Chennai,Marketing,3
Employee_119,999.0,,,Hyderabad,Strategy,2
Employee_120,,2004123.0,,Mumbai,Sales,2
Employee_121,29.0,1731698.0,,Chennai,HR,5
Employee_122,,-82639.0,5.0,Pune,Logistics,5
Employee_123,-27.0,2669129.0,-inf,Kolkata,,4
Employee_124,,1867952.0,-inf,Chennai,Support,1
Employee_125,-2.0,-71307.0,7.0,Delhi,Legal,1
Employee_126,999.0,,-inf,Mumbai,IT,5
Employee_127,999.0,-37933.0,,Ahmedabad,Admin,4
Employee_128,-4.0,999999999.0,13.0,Hyderabad,Sales,4
Employee_129,,999999999.0,-inf,Jaipur,Admin,5
Employee_130,,inf,6.0,Lucknow,Logistics,1
Employee_131,,999999999.0,,Hyderabad,Legal,1
Employee_132,,356552.0,-inf,Delhi,HR,3
Employee_133,-18.0,,-inf,Ahmedabad,Sales,4
Employee_134,55.0,inf,19.0,Pune,,4
Employee_135,-4.0,-92717.0,3.0,Ahmedabad,Support,1
Employee_136,56.0,999999999.0,7.0,Chennai,Support,1
Employee_137,35.0,inf,10.0,Chennai,Sales,4
Employee_138,44.0,-43790.0,,Ahmedabad,Finance,2
Employee_139,42.0,,,Kolkata,Support,5
Employee_140,22.0,-22158.0,-inf,Mumbai,Logistics,2
Employee_141,-9.0,999999999.0,,Lucknow,Marketing,3
Employee_142,999.0,999999999.0,,Lucknow,Admin,1
Employee_143,999.0,,9.0,Ahmedabad,Finance,1
Employee_144,999.0,2652246.0,11.0,Lucknow,Marketing,4
Employee_145,-17.0,-44470.0,-inf,Bangalore,Finance,3
Employee_146,,,-inf,Delhi,Support,1
Employee_147,,500420.0,10.0,Lucknow,Admin,5
Employee_148,,2439369.0,,Bangalore,Support,1
Employee_149,999.0,2185424.0,,Delhi,Admin,1
Employee_150,999.0,inf,-inf,Bangalore,Sales,3
Employee_151,999.0,909887.0,,Hyderabad,Logistics,4
Employee_152,999.0,-66932.0,-inf,Lucknow,Admin,2
Employee_153,999.0,inf,7.0,Mumbai,,3
Employee_154,22.0,,18.0,Kolkata,Logistics,3
